sgRNA	Gene	Clip2_7_E8_control_BC21_IGO_09496_13_S13
OSTF1_35187	OSTF1	43
PLP2_14203	PLP2	146
MRPS33_39225	MRPS33	32
HMGCR_8504	HMGCR	30
PPFIA3_22257	PPFIA3	47
LRRC28_58617	LRRC28	63
LPAR6_27212	LPAR6	26
Non-Targeting Control_76465	Non-Targeting Control	368
Non-Targeting Control_77040	Non-Targeting Control	244
EID1_33506	EID1	68
GCSAM_66867	GCSAM	123
LAMP5_33610	LAMP5	129
CFAP53_65573	CFAP53	54
HSPG2_8995	HSPG2	26
CBLN3_73869	CBLN3	58
MAGEC1_26532	MAGEC1	105
PPP2R3B_36158	PPP2R3B	71
TSPYL5_54970	TSPYL5	112
DCLK2_63889	DCLK2	64
APITD1-CORT_76014	APITD1-CORT	73
