sgRNA	Gene	Clip2_6_E6_survival_BC20_IGO_09496_12_S12
DDAH1_33208	DDAH1	90
TMEM107_53451	TMEM107	50
TTC21A_64547	TTC21A	10
F8_5967	F8	19
FUBP3_23463	FUBP3	29
GRAMD3_48539	GRAMD3	40
CLIC6_39772	CLIC6	51
ATP5G3_1439	ATP5G3	41
SMIM20_71325	SMIM20	38
C5orf42_48477	C5orf42	6
TSPAN17_34877	TSPAN17	13
ALDOC_650	ALDOC	40
PPP1CA_14561	PPP1CA	58
MB21D2_62583	MB21D2	9
IGSF11_62660	IGSF11	61
UPK2_20010	UPK2	38
DENND2D_50476	DENND2D	57
RNF11_35363	RNF11	28
CCDC158_69060	CCDC158	72
MED17_24829	MED17	42
CFL2_3072	CFL2	98
ING3_40242	ING3	7
OR2C1_13082	OR2C1	97
POLD4_46410	POLD4	24
7-Mar_48153	7-Mar	34
DGUOK_4733	DGUOK	12
ZNF770_41243	ZNF770	58
APOBEC4_72640	APOBEC4	73
HDLBP_8279	HDLBP	25
RASA4_27192	RASA4	60
LRPAP1_10809	LRPAP1	16
OR10H2_35159	OR10H2	71
OR12D2_35139	OR12D2	182
SLFN12L_75920	SLFN12L	68
FLVCR2_42891	FLVCR2	36
NFIX_12533	NFIX	65
DUS1L_47420	DUS1L	127
MPP2_11715	MPP2	23
MAP3K13_24095	MAP3K13	23
PAK2_13284	PAK2	9
SPP1_18092	SPP1	61
C1orf229_71188	C1orf229	41
ATP4B_1400	ATP4B	28
ESAM_55679	ESAM	77
ATP13A5_69655	ATP13A5	63
TRMU_43033	TRMU	20
SLC36A4_58224	SLC36A4	33
PNN_14312	PNN	30
OR6S1_69352	OR6S1	43
ATF7IP_43173	ATF7IP	48
2-Sep_12409	2-Sep	32
P3H3_28411	P3H3	33
PGPEP1_40792	PGPEP1	45
LRRCC1_54940	LRRCC1	30
CLEC1A_38299	CLEC1A	35
RALGAPA1_66370	RALGAPA1	6
ST5_18324	ST5	12
C19orf35_70348	C19orf35	36
PINLYP_71888	PINLYP	37
MBD3L1_55049	MBD3L1	34
BIN1_754	BIN1	47
ARID1B_45622	ARID1B	38
NMRK2_35811	NMRK2	69
ANGEL2_55626	ANGEL2	55
PARG_22131	PARG	26
SLC4A1AP_31320	SLC4A1AP	84
PGLS_33730	PGLS	43
GPR179_72934	GPR179	36
N4BP2L1_55564	N4BP2L1	58
ZBTB47_56407	ZBTB47	16
OR6M1_71735	OR6M1	28
SSH3_41143	SSH3	35
ZZEF1_31849	ZZEF1	103
FITM2_59555	FITM2	35
C15orf53_72194	C15orf53	71
CSN1S1_4053	CSN1S1	20
PTP4A3_30299	PTP4A3	50
HIPK4_61857	HIPK4	35
ZBTB14_20428	ZBTB14	22
OAS3_12966	OAS3	15
OVOL2_46590	OVOL2	54
CDC26_66208	CDC26	9
CASC4_56958	CASC4	25
GPR161_32800	GPR161	21
PSME4_32049	PSME4	13
RNPEPL1_45099	RNPEPL1	97
GTF3C1_7977	GTF3C1	11
DEK_21062	DEK	49
CELSR1_25387	CELSR1	9
SPATS1_65782	SPATS1	49
SERPINA6_2421	SERPINA6	44
LCNL1_72483	LCNL1	61
OR5M3_65285	OR5M3	70
PRIM1_14755	PRIM1	11
RGP1_26108	RGP1	2
CTSC_3073	CTSC	54
CA1_2095	CA1	53
KRT20_40021	KRT20	33
CBLL1_50216	CBLL1	61
ZSCAN23_66053	ZSCAN23	13
TMEM55A_42612	TMEM55A	6
CELF6_47002	CELF6	34
GPR135_47839	GPR135	90
SLAIN2_45999	SLAIN2	23
CSN3_4061	CSN3	44
SPATA31C1_73121	SPATA31C1	64
AKAP17A_21443	AKAP17A	47
DRAXIN_70397	DRAXIN	26
FBXL21_34770	FBXL21	54
ZNF358_60821	ZNF358	74
DPM1_23061	DPM1	77
ZC2HC1A_37804	ZC2HC1A	23
DUSP15_59620	DUSP15	8
SLC39A1_35739	SLC39A1	25
EHMT2_29543	EHMT2	22
OR13F1_60631	OR13F1	59
AMT_760	AMT	25
SMCP_11262	SMCP	61
TCP11L2_66616	TCP11L2	41
LENG9_56671	LENG9	60
FAM161B_61431	FAM161B	31
SUSD4_41443	SUSD4	42
CALB1_2201	CALB1	29
SPATA4_60098	SPATA4	18
RABEP1_23979	RABEP1	41
ARL15_40331	ARL15	27
CCDC174_38223	CCDC174	11
WHSC1L1_40957	WHSC1L1	49
MYLK3_56015	MYLK3	68
SPTLC2_25073	SPTLC2	12
GPR143_12954	GPR143	49
GRXCR2_73757	GRXCR2	20
SFRP4_17181	SFRP4	40
ZNF644_52995	ZNF644	6
SLC39A8_47417	SLC39A8	35
ZNF860_69629	ZNF860	41
HDAC8_43625	HDAC8	115
OR6C76_71763	OR6C76	34
CCDC159_59033	CCDC159	54
VPRBP_25772	VPRBP	15
RABEPK_27496	RABEPK	24
HIST1H3G_21720	HIST1H3G	48
ODC1_12997	ODC1	62
MPHOSPH6_27325	MPHOSPH6	6
ANKRD22_58100	ANKRD22	45
DCAF12_33912	DCAF12	33
CYP2C9_4376	CYP2C9	19
EXOC3L4_56017	EXOC3L4	40
FAM131C_69955	FAM131C	63
PIGF_13944	PIGF	69
ICA1L_59763	ICA1L	42
EPS8L1_40833	EPS8L1	34
TMEM176B_36222	TMEM176B	59
ZNF579_63608	ZNF579	37
ME1_11300	ME1	34
ZIK1_67731	ZIK1	22
CLPP_21382	CLPP	23
SPATA2L_58685	SPATA2L	7
LDLRAD2_72521	LDLRAD2	127
INPP5A_9631	INPP5A	53
ARTN_23692	ARTN	64
UBL5_46757	UBL5	6
SEPN1_45254	SEPN1	23
PON2_14421	PON2	33
TEX15_44058	TEX15	53
TEX2_43582	TEX2	38
ADRA1D_397	ADRA1D	24
SLC35F2_40451	SLC35F2	64
CDK5R1_23194	CDK5R1	92
RFTN1_31988	RFTN1	7
ACYP2_251	ACYP2	50
RNF208_74481	RNF208	37
ASS1_1284	ASS1	42
GPIHBP1_68713	GPIHBP1	12
MED28_51074	MED28	24
NRF1_12850	NRF1	8
C8orf76_54523	C8orf76	22
SLC44A1_32833	SLC44A1	108
TTC39C_58943	TTC39C	47
SLC26A11_67662	SLC26A11	59
TNS1_19431	TNS1	14
ZFP69_68990	ZFP69	51
LGR6_46822	LGR6	15
GOLGA1_7410	GOLGA1	30
PLXDC2_54414	PLXDC2	37
TXNRD3NB_74045	TXNRD3NB	63
C1orf105_56225	C1orf105	61
FAHD1_52023	FAHD1	79
GATA4_6919	GATA4	75
JUND_9923	JUND	42
PCDHB12_43961	PCDHB12	9
MMP14_11626	MMP14	12
NRG4_61511	NRG4	27
RPUSD2_35524	RPUSD2	28
HS3ST2_26559	HS3ST2	61
VAX2_33770	VAX2	105
GUCY2D_8061	GUCY2D	37
UXS1_50784	UXS1	17
SGCG_17252	SGCG	43
SDHAF3_44824	SDHAF3	22
SCLY_38990	SCLY	27
MBD5_43342	MBD5	15
CHRAC1_39790	CHRAC1	10
SLIRP_52031	SLIRP	136
LCN9_72042	LCN9	8
HIST1H3H_21727	HIST1H3H	25
KRT19_10380	KRT19	59
EXOC3L4_56020	EXOC3L4	63
ATF6_31252	ATF6	27
ANKRD18B_73129	ANKRD18B	64
OR2Z1_67818	OR2Z1	41
TMEM123_57360	TMEM123	16
ADK_364	ADK	19
BCL7B_24373	BCL7B	64
FBXO24_34874	FBXO24	79
ZNF792_59141	ZNF792	65
NRM_30656	NRM	47
AMIGO2_69904	AMIGO2	45
ZFPM2_32749	ZFPM2	37
PTGDR2_30599	PTGDR2	36
ERBB2IP_43730	ERBB2IP	8
ZNF69_20586	ZNF69	35
PLXNB3_14237	PLXNB3	56
PPIP5K2_32268	PPIP5K2	20
RAB6B_39033	RAB6B	125
SH3D21_49771	SH3D21	32
DCTN2_28427	DCTN2	25
PATE1_63305	PATE1	127
VAV2_20096	VAV2	52
TPSD1_32791	TPSD1	30
DPP4_4996	DPP4	12
SLC50A1_43819	SLC50A1	18
NOTCH2NL_71149	NOTCH2NL	40
SH2D4A_47094	SH2D4A	29
GKN1_44207	GKN1	27
ZNF550_63588	ZNF550	39
STARD8_25862	STARD8	112
VN1R2_68521	VN1R2	81
ABCA6_32856	ABCA6	110
MOBP_11666	MOBP	31
ANAPC13_33891	ANAPC13	14
9-Mar_56402	9-Mar	42
ORM1_13117	ORM1	30
OR52M1_58203	OR52M1	98
CHST9_52191	CHST9	71
GPC2_65910	GPC2	64
GPR78_35795	GPR78	36
OR2M3_59279	OR2M3	46
CDKL2_23570	CDKL2	48
CREBRF_62759	CREBRF	60
ITGB2_9803	ITGB2	42
MRPS26_48285	MRPS26	12
REM1_36200	REM1	40
GPR75_29592	GPR75	34
RAB32_29748	RAB32	56
ZNF853_40491	ZNF853	60
FAM65B_25848	FAM65B	39
BAIAP2L1_43810	BAIAP2L1	44
ADH4_346	ADH4	38
POLR3D_1818	POLR3D	11
BLVRA_1756	BLVRA	20
TEX30_56428	TEX30	51
TTC23_48267	TTC23	11
KIAA1671_54865	KIAA1671	46
HSPB1_8958	HSPB1	52
KCTD3_37919	KCTD3	65
EPHB4_5683	EPHB4	41
FAM175A_52989	FAM175A	48
AKAP13_30484	AKAP13	42
C1orf228_68985	C1orf228	11
ONECUT2_24967	ONECUT2	24
KLC2_48128	KLC2	17
CLDN8_23772	CLDN8	63
HACD2_64912	HACD2	16
RLN3_57983	RLN3	17
PPP1R1C_62465	PPP1R1C	107
DYNLL2_60953	DYNLL2	55
MMP24_29457	MMP24	42
LGALS4_10608	LGALS4	13
TMEM161B_62777	TMEM161B	83
BZW1_25623	BZW1	7
KRT73_68565	KRT73	104
CPEB2_60101	CPEB2	100
CST11_61046	CST11	8
TALDO1_18693	TALDO1	12
FAM162B_65752	FAM162B	3
MYO18A_72105	MYO18A	59
OR51A7_58170	OR51A7	28
LCN10_72781	LCN10	34
RBP2_15938	RBP2	54
EFHB_62545	EFHB	56
LARP7_39067	LARP7	9
CALU_2248	CALU	67
LCNL1_72481	LCNL1	37
CAV3_2393	CAV3	35
KCNH7_55314	KCNH7	28
ZNF85_20628	ZNF85	23
ZNF763_67824	ZNF763	74
COL4A6_3584	COL4A6	59
DNMBP_32289	DNMBP	33
TLN1_19268	TLN1	17
MCMDC2_63063	MCMDC2	57
SPG11_50912	SPG11	84
HLA-G_8458	HLA-G	40
GRID1_7721	GRID1	46
EIF2AK1_35575	EIF2AK1	54
ARPC1A_28459	ARPC1A	34
ALG5_36679	ALG5	49
ZNF500_34445	ZNF500	78
COMMD3-BMI1_76145	COMMD3-BMI1	51
ZHX1-C8orf76_76155	ZHX1-C8orf76	41
KCNK12_44348	KCNK12	61
LAMC1_10490	LAMC1	24
REG1A_15987	REG1A	35
SLC3A2_17481	SLC3A2	27
KIAA0753_26184	KIAA0753	21
CD99_11480	CD99	72
POTEB3_76422	POTEB3	19
RBM46_63924	RBM46	18
SGMS1_66945	SGMS1	10
MID1_11485	MID1	64
C8orf74_65044	C8orf74	8
ADCK2_55686	ADCK2	92
ATP2A1_1368	ATP2A1	39
PGBD1_53785	PGBD1	58
TRMT11_46894	TRMT11	16
SH3PXD2B_68208	SH3PXD2B	55
FEV_40465	FEV	37
SLC6A4_17530	SLC6A4	22
MEX3D_72093	MEX3D	57
MPHOSPH9_27318	MPHOSPH9	44
PLEKHA1_46772	PLEKHA1	45
XAGE1B_74262	XAGE1B	116
VASH1_30981	VASH1	73
TSPAN33_69148	TSPAN33	6
SPATA3_59833	SPATA3	100
TNFRSF19_42558	TNFRSF19	62
GTF3C6_56809	GTF3C6	16
WFDC3_60888	WFDC3	28
SLC24A5_67454	SLC24A5	53
CKAP2L_62348	CKAP2L	59
C5orf47_60161	C5orf47	56
LIX1L_59458	LIX1L	57
APOL6_51408	APOL6	32
RINT1_46966	RINT1	25
OR7D2_63602	OR7D2	55
EXOC8_62156	EXOC8	10
PRR11_43323	PRR11	79
MFSD8_66775	MFSD8	23
HIST1H4F_21743	HIST1H4F	40
ZNF479_55638	ZNF479	69
GOLPH3_47322	GOLPH3	22
MYCBP_34971	MYCBP	65
FBXW10_28341	FBXW10	51
ETNPPL_48169	ETNPPL	15
ERCC6L_40670	ERCC6L	57
RAD17_15722	RAD17	12
PTPN20_34559	PTPN20	9
IQCD_57572	IQCD	76
CCL18_17009	CCL18	58
KCNK12_44349	KCNK12	37
TMEM56-RWDD3_76070	TMEM56-RWDD3	89
ATPAF1_47959	ATPAF1	24
DAPP1_35500	DAPP1	54
VPREB1_20184	VPREB1	19
AGMO_72064	AGMO	46
ZNF98_61969	ZNF98	15
LYPLAL1_59270	LYPLAL1	58
ZNF248_45275	ZNF248	41
AQP1_1020	AQP1	70
HMGCLL1_40117	HMGCLL1	36
VWA8_31666	VWA8	33
TMEM179B_70274	TMEM179B	34
NUDT19_71875	NUDT19	41
HADHB_8157	HADHB	38
TOR4A_40814	TOR4A	32
GTF3C6_56810	GTF3C6	2
DUSP21_47104	DUSP21	38
SYCE3_73918	SYCE3	31
C1orf194_59268	C1orf194	37
NTAN1_58654	NTAN1	36
DEFB128_66179	DEFB128	46
UNC5C_22502	UNC5C	14
MFSD5_54661	MFSD5	24
NME8_38474	NME8	137
FKBP4_6361	FKBP4	19
Non-Targeting Control_77319	Non-Targeting Control	208
CYP2W1_40960	CYP2W1	30
IGSF8_56469	IGSF8	60
C16orf89_61615	C16orf89	30
IFT43_56846	IFT43	36
CLSTN1_31108	CLSTN1	16
TMEM99_61753	TMEM99	13
MAT2A_11147	MAT2A	5
ZNF214_20829	ZNF214	18
CD1B_2536	CD1B	23
MAPK1_14882	MAPK1	21
UBTD2_56141	UBTD2	27
ELAVL1_5490	ELAVL1	8
GOLGA2_7414	GOLGA2	23
PPP1R21_59674	PPP1R21	46
ZDHHC23_66521	ZDHHC23	19
XAGE5_64196	XAGE5	57
ZSCAN26_20781	ZSCAN26	8
HEMK1_38709	HEMK1	45
NCKAP1L_8285	NCKAP1L	16
SH2D6_68001	SH2D6	9
TBC1D2_42446	TBC1D2	47
ZCCHC5_65104	ZCCHC5	59
ADRB1_423	ADRB1	42
USP51_63250	USP51	64
H1FNT_69335	H1FNT	36
TNRC6C_46227	TNRC6C	130
WNT3_20266	WNT3	18
EPS8L1_40832	EPS8L1	48
WDR38_72478	WDR38	16
USP17L12_75592	USP17L12	122
SMARCD3_17775	SMARCD3	17
MIF_11490	MIF	65
PIP4K2A_14019	PIP4K2A	26
UHRF1BP1L_31650	UHRF1BP1L	31
IGF1_9292	IGF1	94
TRIM61_71993	TRIM61	39
BOK_1839	BOK	71
SYNCRIP_28280	SYNCRIP	17
LPIN3_48231	LPIN3	18
MKNK2_7648	MKNK2	60
DDI2_53405	DDI2	77
ZDHHC11_50128	ZDHHC11	102
LOC101929372_76387	LOC101929372	41
SLC35G4_74069	SLC35G4	29
THNSL2_42114	THNSL2	64
ADAMTSL5_68927	ADAMTSL5	17
SHOC2_21213	SHOC2	40
S1PR4_22715	S1PR4	6
OSR2_57616	OSR2	24
ZBTB20_34639	ZBTB20	12
ATOX1_1326	ATOX1	74
FIBP_24054	FIBP	11
SLC1A4_17443	SLC1A4	21
FAM156B_74505	FAM156B	37
SUN1_32550	SUN1	35
TRIM4_55081	TRIM4	66
SPSB1_50846	SPSB1	97
TMEM150C_73045	TMEM150C	66
LAMP1_10493	LAMP1	59
ZNF595_62698	ZNF595	29
MAOB_11098	MAOB	37
PLEKHG6_41903	PLEKHG6	11
C11orf96_70848	C11orf96	93
DDB1_4598	DDB1	7
ANP32A_21320	ANP32A	30
ARSK_62811	ARSK	7
LCE5A_66525	LCE5A	169
LDLR_10565	LDLR	25
ROM1_16242	ROM1	53
DOK5_43476	DOK5	89
PTCRA_64305	PTCRA	39
TTLL12_31950	TTLL12	17
INTS5_51369	INTS5	10
GPR85_39846	GPR85	70
HRAS_8822	HRAS	78
KLHL38_69153	KLHL38	6
LYPD6B_59844	LYPD6B	25
GNA14_25414	GNA14	27
ADRB3_430	ADRB3	29
HFE2_62060	HFE2	23
L1CAM_10435	L1CAM	36
ERGIC1_45312	ERGIC1	34
ODF3B_73023	ODF3B	37
SPIRE1_44541	SPIRE1	15
PKD1L1_64020	PKD1L1	50
SRSF9_22676	SRSF9	46
JADE1_50471	JADE1	69
CTR9_25472	CTR9	12
C16orf89_61614	C16orf89	23
PQLC1_50787	PQLC1	23
IGF2BP2_28780	IGF2BP2	24
OPRM1_13066	OPRM1	10
PCCB_13391	PCCB	14
DNAJB7_62313	DNAJB7	47
RASSF2_25914	RASSF2	40
FCRL2_49193	FCRL2	27
SLC31A1_3686	SLC31A1	45
TAS2R60_68730	TAS2R60	50
C1orf122_59402	C1orf122	32
CRIM1_38198	CRIM1	53
SUMF1_68130	SUMF1	62
PLIN3_27425	PLIN3	53
FAM92A1_60478	FAM92A1	67
HIST1H2AK_21622	HIST1H2AK	80
FAHD2B_62495	FAHD2B	43
PACRG_60331	PACRG	8
TMED3_32777	TMED3	38
GDF5_21394	GDF5	22
GABRA4_6752	GABRA4	21
ZNF785_61604	ZNF785	8
CCDC60_63371	CCDC60	10
ARHGAP11B_55147	ARHGAP11B	43
RILPL1_70050	RILPL1	44
SEMA4B_28323	SEMA4B	20
PEX11A_23020	PEX11A	58
FAM21A_70798	FAM21A	42
ACTG1_194	ACTG1	30
PIM3_72798	PIM3	108
RHEBL1_58347	RHEBL1	30
ADCY2_281	ADCY2	66
CPM_3803	CPM	17
EYA1_5917	EYA1	36
FAM19A4_62538	FAM19A4	50
OR52K2_58206	OR52K2	32
RAP2A_15818	RAP2A	25
CARD6_53997	CARD6	46
ANKRD55_49746	ANKRD55	46
DPF2_16013	DPF2	4
MIOS_39999	MIOS	31
REG4_52760	REG4	54
RAB11FIP2_30963	RAB11FIP2	71
SNX29_56096	SNX29	28
RFTN1_31990	RFTN1	42
ITIH6_69805	ITIH6	44
PLA1A_38604	PLA1A	35
MSL3_29618	MSL3	58
DFFB_4720	DFFB	44
NEK9_55995	NEK9	69
NLRP7_64566	NLRP7	42
SLC4A5_46472	SLC4A5	38
4-Mar_45893	4-Mar	31
TM6SF1_39558	TM6SF1	55
KHDC1_51318	KHDC1	15
ZNF718_66620	ZNF718	21
KLF8_30690	KLF8	49
CMPK2_59713	CMPK2	8
MYOD1_12142	MYOD1	58
C10orf2_44326	C10orf2	11
ZFHX3_1296	ZFHX3	20
ASXL3_51377	ASXL3	48
SLC52A3_56991	SLC52A3	11
FAM151A_68693	FAM151A	24
AKR1D1_18175	AKR1D1	54
KIAA1755_54953	KIAA1755	21
KIR3DL3_57527	KIR3DL3	19
CSNK1G1_39711	CSNK1G1	63
S100A7_16739	S100A7	60
ADAMTS2_25046	ADAMTS2	31
AGPAT6_60526	AGPAT6	33
FGFR1OP_30161	FGFR1OP	9
ARHGAP40_69560	ARHGAP40	24
RBPMS_29901	RBPMS	82
NHLH2_12600	NHLH2	53
ZACN_70113	ZACN	37
CBLN2_61773	CBLN2	46
STAC3_66223	STAC3	3
OPN3_33271	OPN3	48
CACNG5_35549	CACNG5	44
HMGCS2_8510	HMGCS2	15
RPS7_16533	RPS7	10
TMEM167A_62772	TMEM167A	25
PKNOX1_14059	PKNOX1	15
USP12_65210	USP12	20
ROCK2_24949	ROCK2	50
INTS6_35097	INTS6	39
ZNF445_70132	ZNF445	29
FAM89B_33347	FAM89B	43
ELAVL3_5496	ELAVL3	61
MC1R_11196	MC1R	24
KLF9_1911	KLF9	39
LCTL_64485	LCTL	82
SLC25A37_38463	SLC25A37	2
OR10A6_71620	OR10A6	126
CCDC112_62824	CCDC112	44
NPHS1_12780	NPHS1	23
PATE3_75531	PATE3	26
PCDHB11_43965	PCDHB11	64
SALL4_45179	SALL4	18
C15orf27_58623	C15orf27	33
TRIM73_70516	TRIM73	86
RAB14_39012	RAB14	40
UPP2_62524	UPP2	142
UBXN2A_63833	UBXN2A	44
GABRD_6775	GABRD	16
AQP8_967	AQP8	60
CENPW_70723	CENPW	17
RD3_69482	RD3	68
TXLNB_63979	TXLNB	19
PRSS37_60416	PRSS37	52
DENND1C_50463	DENND1C	22
GTF2IRD2B_71408	GTF2IRD2B	12
NGB_46493	NGB	52
ENTPD5_2694	ENTPD5	15
ZWINT_30207	ZWINT	57
ALAD_578	ALAD	31
YPEL1_36632	YPEL1	40
PALLD_31483	PALLD	36
FAM71B_62827	FAM71B	71
SCHIP1_36944	SCHIP1	58
NRSN1_60972	NRSN1	10
ENO4_70820	ENO4	25
LPA_10762	LPA	39
ROPN1L_52526	ROPN1L	18
NEURL4_53665	NEURL4	43
LRRC42_57475	LRRC42	47
SPINK14_72722	SPINK14	66
PHKG1_13875	PHKG1	33
SPP2_18081	SPP2	59
AFF1_11553	AFF1	49
KIAA1210_45592	KIAA1210	27
ZNF699_70359	ZNF699	7
ZKSCAN1_20553	ZKSCAN1	63
IRAK1BP1_60304	IRAK1BP1	39
SPOCK1_18085	SPOCK1	46
ZNF540_63670	ZNF540	27
CRISPLD2_52418	CRISPLD2	57
CCR3_3446	CCR3	21
TNFRSF10A_23006	TNFRSF10A	52
RBKS_47314	RBKS	9
CCDC105_59154	CCDC105	35
TRPA1_23540	TRPA1	69
LGI2_41914	LGI2	17
TMBIM4_39203	TMBIM4	31
MFSD3_57034	MFSD3	29
SLC4A8_25015	SLC4A8	30
RINT1_46964	RINT1	8
NR3C2_11573	NR3C2	40
SLC10A3_21496	SLC10A3	74
MAGEB10_60710	MAGEB10	74
CIDEA_3273	CIDEA	30
PSME1_15286	PSME1	41
MTERF1_21133	MTERF1	36
GTF2IRD1_25244	GTF2IRD1	41
MLANA_6451	MLANA	16
MYO7B_12121	MYO7B	67
SKA1_65571	SKA1	39
KRTAP4-2_54771	KRTAP4-2	25
GNG2_39850	GNG2	44
BEST1_20180	BEST1	44
TM9SF1_28443	TM9SF1	78
CAGE1_68283	CAGE1	60
CASC5_44925	CASC5	9
PPID_14540	PPID	90
JARID2_9911	JARID2	26
UBR3_59820	UBR3	44
SPATS1_65783	SPATS1	85
APOBEC3C_36109	APOBEC3C	38
BIRC2_918	BIRC2	4
DXO_4973	DXO	74
TCEANC2_59355	TCEANC2	55
CILP_22068	CILP	37
DNAJC27_38328	DNAJC27	30
CGB7_56644	CGB7	12
CXXC1_37104	CXXC1	59
L3HYPDH_56876	L3HYPDH	34
HSD3B2_8873	HSD3B2	13
TPD52L1_19477	TPD52L1	65
ZNF326_67966	ZNF326	35
C11orf86_66480	C11orf86	34
TUSC5_68490	TUSC5	63
APOBEC3B_25284	APOBEC3B	16
TSPYL6_71228	TSPYL6	71
IL3RA_9415	IL3RA	57
TTC39C_58942	TTC39C	39
S100A2_16719	S100A2	52
SUCLG2_23022	SUCLG2	15
CKAP5_25999	CKAP5	6
PPP2R5E_14658	PPP2R5E	18
SSBP4_64153	SSBP4	38
MIIP_46984	MIIP	36
FLVCR2_42892	FLVCR2	84
WNT5A_20269	WNT5A	17
FBXL15_49085	FBXL15	12
PKP1_14062	PKP1	65
C9orf92_75204	C9orf92	32
NHSL1_45322	NHSL1	19
EFCAB11_55324	EFCAB11	48
NBEAL1_48389	NBEAL1	23
SULT1C4_35821	SULT1C4	19
CELF4_44447	CELF4	46
MRPS12_16474	MRPS12	9
RPP25_40976	RPP25	34
KCNG3_64235	KCNG3	83
MTCL1_32247	MTCL1	42
POC1B_67149	POC1B	43
CLMN_49950	CLMN	65
COX10_3748	COX10	47
E4F1_5227	E4F1	33
CXorf57_41523	CXorf57	97
DKKL1_35609	DKKL1	20
TLX1_8624	TLX1	27
PSPC1_42142	PSPC1	25
DLGAP1_24246	DLGAP1	10
CCDC116_63778	CCDC116	36
ZBTB7A_38562	ZBTB7A	32
SLCO4C1_70120	SLCO4C1	32
OR4C3_66716	OR4C3	90
ZDHHC3_38434	ZDHHC3	18
GLIS2_53967	GLIS2	78
OARD1_65798	OARD1	13
GALNT18_70262	GALNT18	16
INO80_40317	INO80	24
EPPIN_45036	EPPIN	29
ADAMTS14_60965	ADAMTS14	11
SLC35G6_73815	SLC35G6	54
GNGT1_7381	GNGT1	125
EMC8_27769	EMC8	36
ADAMTS4_25040	ADAMTS4	43
SH3BP1_33319	SH3BP1	25
YPEL1_36631	YPEL1	16
BATF_28418	BATF	56
TGM3_19131	TGM3	37
PCGF3_27798	PCGF3	92
CASP2_2336	CASP2	9
EPB41L1_5626	EPB41L1	25
OLFML3_44662	OLFML3	41
CTDSPL_27393	CTDSPL	83
MBLAC2_62773	MBLAC2	72
MYH4_12036	MYH4	4
CFL2_3070	CFL2	17
CORO6_54551	CORO6	71
TOM1_26806	TOM1	24
MBD3L2_58999	MBD3L2	50
TBC1D26_70108	TBC1D26	31
TIAF1_24228	TIAF1	54
VAMP2_18547	VAMP2	50
KRTAP20-2_68676	KRTAP20-2	39
OR51G2_51527	OR51G2	30
TCTN1_49360	TCTN1	39
C3_1979	C3	39
SLC19A1_17673	SLC19A1	66
SGMS2_63926	SGMS2	39
PPP2CA_14605	PPP2CA	14
DBNL_36314	DBNL	107
CAPRIN2_48534	CAPRIN2	94
TRABD2A_59678	TRABD2A	19
PPHLN1_38975	PPHLN1	22
CRYGD_3984	CRYGD	28
MFSD5_54662	MFSD5	39
LOC100129216_75188	LOC100129216	24
MGAT4B_30699	MGAT4B	21
CITED4_63711	CITED4	70
NLRC4_46546	NLRC4	30
C16orf58_47957	C16orf58	75
ZNF727_73260	ZNF727	46
KIAA1211L_69577	KIAA1211L	168
HIST1H3B_21732	HIST1H3B	50
ZNF267_27701	ZNF267	40
GSTO1_24856	GSTO1	15
3-Sep_43785	3-Sep	20
DNAI1_35411	DNAI1	38
SYT8_55271	SYT8	31
FAM3D_59923	FAM3D	50
RPP25L_60606	RPP25L	40
EIF3D_22609	EIF3D	23
CBX3_30797	CBX3	28
FAM227A_74139	FAM227A	8
HIST3H2A_56364	HIST3H2A	70
CDKN1A_2928	CDKN1A	29
NCBP1_12239	NCBP1	14
BRMS1L_53443	BRMS1L	101
CBLB_2429	CBLB	144
CYLC2_4326	CYLC2	47
LPL_10765	LPL	20
EIF4H_20227	EIF4H	30
NPY5R_12827	NPY5R	78
GALNT4_22704	GALNT4	38
VWC2L_72543	VWC2L	80
SLIT3_17724	SLIT3	24
SCML1_16870	SCML1	61
DIO1_4779	DIO1	57
RMND5B_48025	RMND5B	39
FOSL1_21233	FOSL1	31
CREBL2_3874	CREBL2	91
HELT_71999	HELT	45
KRTAP20-3_68691	KRTAP20-3	21
OC90_74884	OC90	19
CNOT7_36692	CNOT7	6
SIK1_62259	SIK1	5
ETV7_38917	ETV7	23
INTS12_45028	INTS12	17
MYH1_12022	MYH1	32
GTSE1_38911	GTSE1	39
PRRT1_51454	PRRT1	22
KLC1_10248	KLC1	63
MADD_22345	MADD	41
PRMT9_55633	PRMT9	84
NME7_36789	NME7	59
OVOL1_13154	OVOL1	26
STX12_33453	STX12	15
SGCA_17239	SGCA	14
OR5H6_49147	OR5H6	18
VTN_20203	VTN	19
YAE1D1_44830	YAE1D1	2
CLEC17A_71040	CLEC17A	35
ZNF461_56173	ZNF461	58
COL6A6_59993	COL6A6	16
CHMP1B_45080	CHMP1B	88
PCBD1_13376	PCBD1	78
ARHGAP26_31706	ARHGAP26	39
RARB_15833	RARB	20
RALGAPA1_66372	RALGAPA1	69
ZNF529_46305	ZNF529	47
UNC5C_22504	UNC5C	11
LMAN2_29679	LMAN2	21
TAS1R2_51425	TAS1R2	73
PRPS1_15011	PRPS1	25
MXD3_52145	MXD3	24
DIAPH1_4767	DIAPH1	27
PPP1R17_29297	PPP1R17	30
NFATC1_12490	NFATC1	29
ADGRG3_66001	ADGRG3	59
FAM160A2_52827	FAM160A2	58
TAP1_18699	TAP1	65
SYCE1_56515	SYCE1	122
SH3BP2_17277	SH3BP2	34
KRTAP21-3_75664	KRTAP21-3	92
